Symbol,Name,Price,Change,Change %,Volume,Market Cap
SOFI,"SoFi Technologies, Inc.",,13.27+0.07(+0.53%),+0.07,+0.53%,168.376M
HIMS,"Hims & Hers Health, Inc.",,35.04+6.56(+23.03%),+6.56,+23.03%,151.815M
NVDA,NVIDIA Corporation,,109.02+0.29(+0.27%),+0.29,+0.27%,162.786M
AMCR,Amcor plc,,9.33-0.30(-3.12%),-0.30,-3.12%,141.778M
F,Ford Motor Company,,10.15+0.13(+1.30%),+0.13,+1.30%,141.614M
TSLA,"Tesla, Inc.",,292.03+6.15(+2.15%),+6.15,+2.15%,105.725M
PFE,Pfizer Inc.,,23.79+0.74(+3.21%),+0.74,+3.21%,78.782M
PLTR,Palantir Technologies Inc.,,116.08+1.43(+1.25%),+1.43,+1.25%,79.217M
DNB,"Dun & Bradstreet Holdings, Inc.",,8.95-0.20(-2.19%),-0.20,-2.19%,75.717M
SNAP,Snap Inc.,,9.09+0.26(+2.94%),+0.26,+2.94%,72.679M
LCID,"Lucid Group, Inc.",,2.5600+0.0300(+1.19%),+0.0300,+1.19%,72.664M
AAL,American Airlines Group Inc.,,9.90+0.05(+0.51%),+0.05,+0.51%,60.713M
INTC,Intel Corporation,,20.34-0.17(-0.83%),-0.17,-0.83%,60.205M
ABEV,Ambev S.A.,,2.5400+0.0500(+2.01%),+0.0500,+2.01%,46.628M
NIO,NIO Inc.,,4.2400-0.0700(-1.62%),-0.0700,-1.62%,45.497M
NU,Nu Holdings Ltd.,,12.41+0.27(+2.22%),+0.27,+2.22%,43.365M
RIOT,"Riot Platforms, Inc.",,7.42-0.21(-2.75%),-0.21,-2.75%,43.715M
MARA,"MARA Holdings, Inc.",,14.22+0.21(+1.50%),+0.21,+1.50%,37.029M
AGNC,AGNC Investment Corp.,,9.07+0.05(+0.55%),+0.05,+0.55%,37.318M
AMZN,"Amazon.com, Inc.",,187.39-0.31(-0.17%),-0.31,-0.17%,41.37M
BBD,Banco Bradesco S.A.,,2.4300+0.0400(+1.67%),+0.0400,+1.67%,35.393M
ITUB,Itaú Unibanco Holding S.A.,,6.31+0.10(+1.61%),+0.10,+1.61%,33.801M
PSLV,Sprott Physical Silver Trust,,11.03-0.11(-0.99%),-0.11,-0.99%,30.213M
CCL,Carnival Corporation & plc,,18.71-0.15(-0.80%),-0.15,-0.80%,30.171M
ERIC,Telefonaktiebolaget LM Ericsson (publ),,8.30+0.06(+0.73%),+0.06,+0.73%,29.172M
